Disease,Symptoms,Medication
Fungal Infection,"Skin rash, itching, redness","Antifungal creams, Oral antifungal medications"
Acne,"Pimples, blackheads, whiteheads","Topical retinoids, Benzoyl peroxide, Antibiotics"
Urinary Tract Infection (UTI),"Painful urination, frequent urge to urinate","Antibiotics (e.g., trimethoprim-sulfamethoxazole)"
Common Cold,"Sneezing, runny nose, sore throat","Decongestants, Pain relievers, Antihistamines"
Allergic Rhinitis,"Sneezing, runny or stuffy nose, itching","Antihistamines, Nasal corticosteroids"
Migraine,"Severe headaches, nausea, sensitivity to light","Triptans, NSAIDs, Preventive medications"
Gastroenteritis,"Diarrhea, vomiting, abdominal cramps","Fluid replacement, Antiemetics"
Hypertension,High blood pressure (often asymptomatic),"ACE inhibitors, Beta-blockers, Diuretics (Antihypertensive medications)"
Diabetes,"Increased thirst, frequent urination, fatigue","Insulin, Oral hypoglycemic agents"
Asthma,"Wheezing, shortness of breath, coughing","Bronchodilators, Corticosteroids"
Pneumonia,"Fever, cough, chest pain","Antibiotics, Antiviral medications"
Osteoarthritis,"Joint pain, stiffness, swelling","Pain relievers, Anti-inflammatory drugs"
Rheumatoid Arthritis,"Joint pain, swelling, morning stiffness","DMARDs, NSAIDs"
Anxiety Disorder,"Excessive worrying, restlessness, fatigue","Antidepressants, Anxiolytics"
Depression,"Persistent sadness, loss of interest, changes in sleep or appetite",Antidepressants
Hyperthyroidism,"Weight loss, rapid heartbeat, anxiety","Antithyroid medications, Beta-blockers"
Hypothyroidism,"Fatigue, weight gain, cold intolerance",Levothyroxine
Peptic Ulcer,"Abdominal pain, bloating, nausea","Proton pump inhibitors, Antibiotics"
Gastroesophageal Reflux Disease (GERD),"Heartburn, regurgitation, chest pain","Proton pump inhibitors, H2 blockers"
Chronic Obstructive Pulmonary Disease (COPD),"Shortness of breath, chronic cough","Bronchodilators, Corticosteroids"
Ovarian Cyst,"Pelvic pain, bloating, irregular periods","Pain relievers, Hormone therapy"
Endometriosis,"Pelvic pain, painful periods, infertility","Proton pump inhibitors, Antibiotics"
Gastritis,"Abdominal pain, nausea, vomiting","Antiviral medications, Vaccination"
Hepatitis,"Jaundice, fatigue, abdominal pain","Bisphosphonates, Hormone therapy"
Osteoporosis,"Bone pain, fractures, loss of height","CPAP therapy, Dental devices"
Sleep Apnea,"Loud snoring, daytime sleepiness, difficulty breathing during sleep","ACE inhibitors, Beta-blockers, Statins"
Coronary Artery Disease,"Chest pain (angina), shortness of breath, fatigue","Anticoagulants, Antiplatelet medications"
Stroke,"Sudden numbness or weakness, confusion, difficulty speaking","Disease-modifying therapies, Symptomatic treatments"
Multiple Sclerosis,"Fatigue, difficulty walking, muscle weakness","Cholinesterase inhibitors, NMDA receptor antagonists"
Alzheimer's Disease,"Memory loss, confusion, difficulty with familiar tasks","Levodopa, Dopamine agonists"
Parkinson's Disease,"Tremors, stiffness, difficulty with balance","Antipsychotics, Mood stabilizers"
Schizophrenia,Episodes of mania and depression,"SSRIs, Cognitive-behavioral therapy"
Bipolar Disorder,"Recurrent unwanted thoughts, repetitive behaviors","Stimulants, Non-stimulants"
Obsessive-Compulsive Disorder (OCD),"Inattention, hyperactivity, impulsivity","Gluten-free diet, Immunomodulators"
Attention-Deficit/Hyperactivity Disorder (ADHD),"Abdominal pain, diarrhea, weight loss","Dietary changes, Antispasmodic medications"
Celiac Disease,"Abdominal pain, bloating, changes in bowel habits","NSAIDs, Corticosteroids"
Irritable Bowel Syndrome (IBS),"Joint pain, skin rash, fatigue","Topical treatments, Phototherapy"
Lupus,"Red, itchy, scaly skin","Emollients, Topical corticosteroids"
Psoriasis,"Dry, itchy, inflamed skin","Surgery, Immunotherapy"
Eczema,"Changes in moles, asymmetry, irregular borders","Dietary adjustments, Medications"
Melanoma,"Shakiness, sweating, irritability","Antibiotics, Anti-inflammatory drugs"
Hypoglycemia,"Fever, joint pain, rash","Chemotherapy, Targeted therapy"
Rheumatic Fever,"Abdominal pain, nausea, vomiting","Enzyme replacement therapy, Pain management"
Leukemia,"Kidney pain, blood in urine, frequent urination","Pain relievers, Alpha-blockers"
Pancreatitis,"Headache, neck stiffness, fever","Antibiotics, Antiviral medications"
Kidney Stones,"Persistent cough, weight loss, fatigue",Antibiotics
Meningitis,"Joint pain, swelling, tenderness","NSAIDs, Colchicine"
Tuberculosis,"Abdominal pain, fever, changes in bowel habits","Dietary changes, Fiber supplements"
Gout,"Abdominal pain, fever, vomiting","Surgery, Antibiotics"
Diverticulitis,"Bone pain, fever, weight loss",Antibiotics
Appendicitis,"Testicular pain or swelling, lumps",Antibiotics
Osteomyelitis,"Breast lump, changes in breast appearance",Antibiotics
Ovarian Cancer,"Changes in urination, blood in urine, pelvic pain","Chemotherapy, Radiation therapy"
Testicular Cancer,"Lump or nodule, difficulty swallowing, hoarseness","Chemotherapy, Radiation therapy"
Breast Cancer,"Persistent cough, chest pain, shortness of breath","Surgery, Chemotherapy, Radiation therapy"
Prostate Cancer,"Abdominal pain, weight loss, loss of appetite","Surgery, Hormone therapy, Radiation therapy"
Colorectal Cancer,"Seizures, memory loss, personality changes","Surgery, Chemotherapy, Radiation therapy"
Bladder Cancer,"Unexplained weight loss, fatigue, night sweats","Surgery, Immunotherapy"
Thyroid Cancer,"Lumps, swelling, pain in muscles or joints","Surgery, Radioactive iodine"
Lung Cancer,"Bone pain, fatigue, unexplained weight loss","Surgery, Chemotherapy, Radiation therapy"
Liver Cancer,"Swelling, pain, tenderness in affected area","Surgery, Chemotherapy, Targeted therapy"
Stomach Cancer,"Joint pain, stiffness, difficulty moving","Surgery, Chemotherapy, Radiation therapy"
Pancreatic Cancer,"Fatigue, weakness, paleness","Surgery, Chemotherapy"
Brain Tumor,"Fatigue, shortness of breath, rapid heart rate","Surgery, Chemotherapy, Radiation therapy"
Cervical Cancer,"Fatigue, weakness, yellowing of skin and eyes","Surgery, Chemotherapy, Radiation therapy"
Esophageal Cancer,"Cognitive delays, distinctive facial features","Chemotherapy, Immunotherapy"
Lymphoma,"Short stature, webbed neck, infertility","Chemotherapy, Immunotherapy"
Myeloma,"Tall stature, long limbs, heart problems","Surgery, Chemotherapy, Radiation therapy"
Sarcoma,Progressive neurodegenerative disorder,"Surgery, Chemotherapy, Radiation therapy"
Mesothelioma,"Motor and vocal tics, repetitive movements","Replacement therapy, Clotting factor concentrates"
Hemophilia,"Impaired social interaction, communication difficulties","Hydroxyurea, Blood transfusions"
Sickle Cell Anemia,"Fatigue, Weakness, Pale or jaundiced skin, Shortness of breath, Rapid heart rate","Blood transfusions, Iron chelation therapy"
Thalassemia,"Fatigue, weakness, pale or jaundiced skin, delayed growth","Therapeutic phlebotomy, Iron chelation therapy"
Hemochromatosis,"Fatigue, joint pain, abdominal pain, bronze or grayish skin",Early intervention programs
Down Syndrome,"Intellectual disability, distinct facial features, poor muscle tone","Hormone therapy, Growth hormone"
Turner Syndrome,"Short stature, webbed neck, infertility","Beta-blockers, Surgery"
Marfan Syndrome,"Tall stature, long limbs, heart problems","Symptomatic treatment, Supportive care"
Huntington's Disease,Progressive neurodegenerative disorder,"Behavioral therapy, Medications"
Tourette Syndrome,"Motor and vocal tics, repetitive movements","Behavioral therapy, Medications"
Autism Spectrum Disorder (ASD),"Impaired social interaction, communication difficulties","Behavioral therapy, Medications"
Celiac Disease,"Abdominal pain, diarrhea, weight loss","Gluten-free diet, Immunomodulators"
Irritable Bowel Syndrome (IBS),"Abdominal pain, bloating, changes in bowel habits","Dietary changes, Antispasmodic medications"
Lupus,"Joint pain, skin rash, fatigue","NSAIDs, Corticosteroids"
Psoriasis,"Red, itchy, scaly skin","Topical treatments, Phototherapy"
Eczema,"Dry, itchy, inflamed skin","Emollients, Topical corticosteroids"
Melanoma,"Changes in moles, asymmetry, irregular borders","Surgery, Immunotherapy"
Hypoglycemia,"Shakiness, sweating, irritability","Dietary adjustments, Medications"
Rheumatic Fever,"Fever, joint pain, rash","Enzyme replacement therapy, Pain management"
Leukemia,"Fatigue, weakness, unexplained weight loss","Pain relievers, Alpha-blockers"
Pancreatitis,"Abdominal pain, nausea, vomiting","Antibiotics, Antiviral medications"
Kidney Stones,"Back or abdominal pain, blood in urine",Antibiotics
Meningitis,"Headache, neck stiffness, fever","NSAIDs, Colchicine"
Tuberculosis,"Persistent cough, weight loss, fatigue","Dietary changes, Fiber supplements"
Gout,"Swelling, pain, tenderness in joints","Surgery, Antibiotics"
Diverticulitis,"Abdominal pain, changes in bowel habits",Antibiotics
Appendicitis,"Abdominal pain, fever, vomiting",Antibiotics
Osteomyelitis,"Pain, swelling, redness in affected area",Antibiotics
Ovarian Cancer,"Abdominal pain, bloating, changes in bowel habits","Chemotherapy, Radiation therapy"
Testicular Cancer,"Testicular pain or swelling, lumps","Chemotherapy, Radiation therapy"
Breast Cancer,"Breast lump, changes in breast appearance","Surgery, Chemotherapy, Radiation therapy"
